sample,function,taxon,taxon_abun,taxon_rel_abun,genome_function_count,taxon_function_abun,taxon_rel_function_abun
C24,DHGLUCONATE-PYR-CAT-PWY,d829bee4984f82ffc2453212157caf96,1007,1.5441931360845125,0.14793475670307846,148.9703,0.2284
C24,DHGLUCONATE-PYR-CAT-PWY,6472eb8b1e09f892aca2f23182962903,998,1.5303920057719398,0.14793476953907816,147.6389,0.2264
C22,DHGLUCONATE-PYR-CAT-PWY,d829bee4984f82ffc2453212157caf96,523,1.4258229902098032,0.12790707456978967,66.8954,0.1824
C22,DHGLUCONATE-PYR-CAT-PWY,6472eb8b1e09f892aca2f23182962903,474,1.2922372798459785,0.12790717299578058,60.628,0.1653
C24,DHGLUCONATE-PYR-CAT-PWY,f37fc1dccfeba0004cbeb4f1ad6083c6,588,0.9016738470880766,0.16906836734693878,99.4122,0.1524
C23,DHGLUCONATE-PYR-CAT-PWY,6472eb8b1e09f892aca2f23182962903,574,1.4537814019315545,0.08819216027874564,50.6223,0.1282
C22,DHGLUCONATE-PYR-CAT-PWY,f37fc1dccfeba0004cbeb4f1ad6083c6,316,0.8614915198973191,0.14617943037974684,46.1927,0.1259
C26,DHGLUCONATE-PYR-CAT-PWY,d829bee4984f82ffc2453212157caf96,573,1.834464693277824,0.06687748691099477,38.3208,0.1227
C23,DHGLUCONATE-PYR-CAT-PWY,d829bee4984f82ffc2453212157caf96,502,1.271425546637004,0.08819223107569721,44.2725,0.1121
C24,DHGLUCONATE-PYR-CAT-PWY,3a7bcfd3dd1c23c2efae4b6b3fcd36a3,470,0.7207256941010136,0.14793468085106384,69.5293,0.1066
C30,DHGLUCONATE-PYR-CAT-PWY,d829bee4984f82ffc2453212157caf96,598,1.5302998082518982,0.06962859531772575,41.6379,0.1066
C30,DHGLUCONATE-PYR-CAT-PWY,6472eb8b1e09f892aca2f23182962903,575,1.4714421233191328,0.0696286956521739,40.0365,0.1025
C21,DHGLUCONATE-PYR-CAT-PWY,d829bee4984f82ffc2453212157caf96,461,1.1165961305705372,0.08248611713665943,38.0261,0.0921
C27,DHGLUCONATE-PYR-CAT-PWY,d829bee4984f82ffc2453212157caf96,576,1.2944151827709744,0.07105034722222221,40.925,0.092
