sample,function,taxon,taxon_abun,taxon_rel_abun,genome_function_count,taxon_function_abun,taxon_rel_function_abun
C01,FUC-RHAMCAT-PWY,ad4cba5280fb47cbebea01e7031af61c,741,1.6818738935040185,0.04086815114709852,30.2833,0.0687
C01,FUC-RHAMCAT-PWY,26005dfb7ad2e8cdbb139846af329663,518,1.1757229107086122,0.04086814671814672,21.1697,0.048
C21,FUC-RHAMCAT-PWY,68262884f1021c896f8e1bf7348d773c,1496,3.623487660159487,0.009915307486631015,14.8333,0.0359
C01,FUC-RHAMCAT-PWY,6472eb8b1e09f892aca2f23182962903,695,1.5774660674565355,0.02043410071942446,14.2017,0.0322
C06,FUC-RHAMCAT-PWY,ad4cba5280fb47cbebea01e7031af61c,760,1.4540498253131326,0.019871710526315787,15.1025,0.0289
C06,FUC-RHAMCAT-PWY,50dcb728c67166ba82dcfc503a9eae8a,666,1.2742068206033506,0.01987177177177177,13.2346,0.0253
C01,FUC-RHAMCAT-PWY,f74a23038095f558d209d451c03c9b7e,272,0.6173680148894644,0.040868014705882354,11.1161,0.0252
C03,FUC-RHAMCAT-PWY,b57222c8c2e7d64e04acdbccb6071825,620,1.0100819209021137,0.02417467741935484,14.9883,0.0244
C01,FUC-RHAMCAT-PWY,50dcb728c67166ba82dcfc503a9eae8a,254,0.5765127786100144,0.04086811023622047,10.3805,0.0236
C21,FUC-RHAMCAT-PWY,ad4cba5280fb47cbebea01e7031af61c,478,1.1577721267087129,0.019830543933054393,9.479,0.023
C02,FUC-RHAMCAT-PWY,50dcb728c67166ba82dcfc503a9eae8a,247,0.6829128028179143,0.03222914979757085,7.9606,0.022
C03,FUC-RHAMCAT-PWY,50dcb728c67166ba82dcfc503a9eae8a,519,0.8455363176583822,0.02417456647398844,12.5466,0.0204
C25,FUC-RHAMCAT-PWY,ad4cba5280fb47cbebea01e7031af61c,1510,3.0753633052945752,0.006583245033112583,9.9407,0.0202
C01,FUC-RHAMCAT-PWY,b57222c8c2e7d64e04acdbccb6071825,213.33,0.4842026419719464,0.04086813856466508,8.7184,0.0198
C01,FUC-RHAMCAT-PWY,1fb5e635933d117eae252dd3a49a2ad5,208.67,0.4736256752462665,0.04086787750994394,8.5279,0.0194
