"","HUM.clr","ROC.clr","POC.clr","D17"
"1CMET2-PWY",-0.792489692740046,0.663905475140921,-0.0915336450889605,-0.327624979649844
"ANAEROFRUCAT-PWY",0.225864677398458,0.124474659005027,-0.127796364010773,0.584324187018165
"ANAGLYCOLYSIS-PWY",-0.364962712692566,0.591340151319431,-0.182253999950706,0.296093489407787
"ARGSYN-PWY",-0.265601676848324,0.528785511440122,-0.180924714493836,0.36954353413135
"ARGSYNBSUB-PWY",-0.32861675135927,0.566708665747767,-0.180909672372601,0.320223689541496
"ARO-PWY",-0.20764407501764,0.495672721472155,-0.181805228778939,0.41767009852921
"ASPASN-PWY",-0.128915500974377,-0.0774824295555191,0.0760991958393122,-0.343585321848644
"BRANCHED-CHAIN-AA-SYN-PWY",-0.105335348231241,0.419577751323268,-0.174704559079172,0.475012036961216
"CALVIN-PWY",-0.259703458156277,0.522698104103999,-0.179681187215249,0.370188058130251
"COA-PWY",-0.325001636620502,0.565426270530924,-0.181348711310327,0.324451070975672
"COBALSYN-PWY",-0.175855940513995,-0.177427287099637,0.138997020996762,-0.580956443386037
"COMPLETE-ARO-PWY",-0.251760545551116,0.524227628578136,-0.182778333545535,0.386279749163464
"DAPLYSINESYN-PWY",0.0768725107256212,0.270873888910616,-0.155592165883601,0.556505581153851
"FAO-PWY",-0.206199689964742,0.332225681149216,-0.102051776992151,0.164355458183205
"FASYN-ELONG-PWY",-0.674497845580021,0.724129348935557,-0.15593900162868,-0.0298887462148049
"FOLSYN-PWY",-0.772059857982522,0.61560131141119,-0.0738738964105604,-0.367992125013806
"GALLATE-DEGRADATION-I-PWY",-0.137489958266931,-0.177602445845265,0.127747269175161,-0.515066847136522
"GALLATE-DEGRADATION-II-PWY",-0.337106728815584,-0.0304000543516418,0.11451510031838,-0.628932685460832
"GLUCONEO-PWY",-0.611884659228723,0.318264107848093,0.0246615407174967,-0.557115932425795
"GLUTORN-PWY",-0.354342642552298,0.574765948309123,-0.177261219918699,0.288468506396836
"GLYCOCAT-PWY",0.0830790876174303,0.275950836161238,-0.159916507291727,0.575154842808174
"GLYCOGENSYNTH-PWY",-0.798091827121531,0.524922508580973,-0.0216992578421052,-0.554803725164195
"GLYCOLYSIS",0.15404096341983,0.203397078580761,-0.145291213823383,0.58398006787337
"GLYCOLYSIS-E-D",0.197021158914059,0.162822798399036,-0.138086186730091,0.594599741492427
"GLYCOLYSIS-TCA-GLYOX-BYPASS",-0.090436635334378,0.34984298604342,-0.144897628222162,0.391565918217007
"GLYOXYLATE-BYPASS",-0.479157950994004,0.254428617585815,0.01676087986949,-0.428130014994386
"HEME-BIOSYNTHESIS-II",-0.454857002849449,0.083422776282127,0.0934691216814482,-0.653857590803909
"HEMESYN2-PWY",-0.77848474506375,0.713050420247684,-0.119780004015057,-0.226557741353696
"HISDEG-PWY",0.179728501835131,0.17389243055691,-0.138407163174285,0.582102549631663
"HISTSYN-PWY",-0.518586325531843,0.667312832565344,-0.174133097797691,0.150065506331215
"HOMOSER-METSYN-PWY",0.340495033975524,-0.389778016369367,0.0906053939981796,-0.0228308055540188
"HSERMETANA-PWY",-0.111643107156364,0.392224934209231,-0.159422721676974,0.421325057495029
"ILEUSYN-PWY",-0.0650779306838159,0.384729193699826,-0.169503853029088,0.489897305309501
"MET-SAM-PWY",0.017601413386134,0.109452962249994,-0.0588935418489763,0.201655570567531
"METHYLGALLATE-DEGRADATION-PWY",-0.13549642711134,-0.179805816082558,0.128239137468938,-0.515077341468679
"NONMEVIPP-PWY",-0.401382954773985,0.609838242579059,-0.180567596306149,0.262236016999715
"NONOXIPENT-PWY",0.0354434345119127,0.317385527432015,-0.16616810641775,0.557853239856425
"P101-PWY",0.370971722989895,-0.54689417986796,0.158675251999725,-0.216169785376741
"P105-PWY",-0.62041114244633,0.572903718021615,-0.097734644304952,-0.17329219793706
"P108-PWY",0.132296935654373,0.222689160528833,-0.14833056729915,0.576674985690265
